MODEL,BEST_P,SIGNAL,ACC,PRE_C1,PRE_C2,REC_C1,REC_C2,F1_C1,F1_C2,AVERGAE F1
gradientboosting,200,all,0.6350308642,0.2720419954,0.8231156489,0.4434883987,0.6857512408,0.3367546441,0.7476852184,0.5422199312
MODEL,BEST_P,SIGNAL,ACC,PRE_C1,PRE_C2,REC_C1,REC_C2,F1_C1,F1_C2,
svm_rbf,175,all,0.6077674897,0.3511677836,0.7407259896,0.4123890156,0.6878170095,0.3788279347,0.7127927391,0.5458103369
MODEL,BEST_P,SIGNAL,ACC,PRE_C1,PRE_C2,REC_C1,REC_C2,F1_C1,F1_C2,
extratrees,12,all,0.6013374486,0.3315747313,0.7411164619,0.3989116964,0.6815078343,0.361644546,0.7095645617,0.5356045539
MODEL,BEST_P,SIGNAL,ACC,PRE_C1,PRE_C2,REC_C1,REC_C2,F1_C1,F1_C2,
randomforest,18,all,0.617026749,0.2697812586,0.7969540035,0.4077444103,0.6780728644,0.3242376973,0.7322263513,0.5282320243
