MODEL,BEST_P,SIGNAL,ACC,PRE_C1,PRE_C2,REC_C1,REC_C2,F1_C1,F1_C2,AVERAGE F1
gradientboosting,350,all,0.6105967078,0.2645062061,0.7899255018,0.3948252027,0.6745579611,0.3163069787,0.7272010219,0.5217540003
MODEL,BEST_P,SIGNAL,ACC,PRE_C1,PRE_C2,REC_C1,REC_C2,F1_C1,F1_C2,
svm_rbf,68,all,0.5733024691,0.3782966252,0.6743456953,0.3757482217,0.6767238728,0.3765187851,0.6750330623,0.5257759237
MODEL,BEST_P,SIGNAL,ACC,PRE_C1,PRE_C2,REC_C1,REC_C2,F1_C1,F1_C2,
extratrees,38,all,0.6242283951,0.2200450489,0.8336584015,0.4066846704,0.6735013648,0.2851193609,0.7445763821,0.5148478715
MODEL,BEST_P,SIGNAL,ACC,PRE_C1,PRE_C2,REC_C1,REC_C2,F1_C1,F1_C2,
randomforest,100,all,0.6306584362,0.2027127334,0.8524010729,0.4157644269,0.6735573361,0.2721028275,0.7520060698,0.5120544487
